Date,Time,Milliseconds,ResponseTime(secs)
06/05/2017,11:06:32,998,0.3125327
06/05/2017,11:06:33,30,0.3125878
06/05/2017,11:06:33,155,0.1875731
06/05/2017,11:06:33,383,0.1699172
06/05/2017,11:06:33,342,0.304249
06/05/2017,11:06:33,390,0.3038564
06/05/2017,11:06:33,396,0.3437844
06/05/2017,11:06:33,631,0.2187774
06/05/2017,11:06:33,818,0.1875134
06/05/2017,11:06:33,693,0.3438655
06/05/2017,11:06:33,740,0.3282387
06/05/2017,11:06:34,6,0.3124563
06/05/2017,11:06:34,84,0.2969111
06/05/2017,11:06:34,37,0.3437144
06/05/2017,11:06:34,115,0.4532612
06/05/2017,11:06:34,84,0.4845188
06/05/2017,11:06:34,381,0.2187825
06/05/2017,11:06:34,428,0.2812994
06/05/2017,11:06:34,412,0.3125924
06/05/2017,11:06:34,709,0.2591136
06/05/2017,11:06:34,785,0.2766466
06/05/2017,11:06:34,631,0.4622792
06/05/2017,11:06:34,631,0.4622792
06/05/2017,11:06:34,783,0.372491
06/05/2017,11:06:35,15,0.2656442
06/05/2017,11:06:35,109,0.2500355
06/05/2017,11:06:35,156,0.3497305
06/05/2017,11:06:35,312,0.255984
06/05/2017,11:06:35,156,0.4625344
06/05/2017,11:06:35,409,0.2529614
06/05/2017,11:06:35,281,0.4119094
06/05/2017,11:06:35,562,0.264051
06/05/2017,11:06:35,616,0.2147001
06/05/2017,11:06:35,700,0.272295
06/05/2017,11:06:35,680,0.354853
06/05/2017,11:06:35,878,0.2656527
06/05/2017,11:06:36,19,0.234401
06/05/2017,11:06:35,815,0.4382694
06/05/2017,11:06:35,878,0.4688469
06/05/2017,11:06:36,81,0.2969086
06/05/2017,11:06:36,206,0.2344006
06/05/2017,11:06:36,316,0.2344015
06/05/2017,11:06:36,285,0.2656105
06/05/2017,11:06:36,519,0.2679353
06/05/2017,11:06:36,394,0.4603873
06/05/2017,11:06:36,582,0.3110697
06/05/2017,11:06:36,519,0.4208925
06/05/2017,11:06:36,598,0.3736503
06/05/2017,11:06:36,843,0.1746963
06/05/2017,11:06:36,971,0.1874339
06/05/2017,11:06:36,987,0.2187795
06/05/2017,11:06:36,987,0.3616776
06/05/2017,11:06:36,987,0.5335796
06/05/2017,11:06:37,18,0.502237
06/05/2017,11:06:37,205,0.3928528
06/05/2017,11:06:37,159,0.5179636
06/05/2017,11:06:37,317,0.4219199
06/05/2017,11:06:37,395,0.3906623
06/05/2017,11:06:37,567,0.4062941
06/05/2017,11:06:37,567,0.4531745
06/05/2017,11:06:37,739,0.2812802
06/05/2017,11:06:37,645,0.4062962
06/05/2017,11:06:37,786,0.3438868
06/05/2017,11:06:38,20,0.187521
06/05/2017,11:06:37,833,0.40621
06/05/2017,11:06:38,67,0.343795
06/05/2017,11:06:38,52,0.5469347
06/05/2017,11:06:38,239,0.4531759
06/05/2017,11:06:38,349,0.406283
06/05/2017,11:06:38,223,0.5938207
06/05/2017,11:06:38,223,0.5938207
06/05/2017,11:06:38,473,0.3437968
06/05/2017,11:06:38,286,0.5626514
06/05/2017,11:06:38,645,0.312531
06/05/2017,11:06:38,739,0.2811953
06/05/2017,11:06:38,833,0.4606677
06/05/2017,11:06:38,942,0.398239
06/05/2017,11:06:38,942,0.4294843
06/05/2017,11:06:38,942,0.4450346
06/05/2017,11:06:39,83,0.3356769
06/05/2017,11:06:39,20,0.4138602
06/05/2017,11:06:39,356,0.4429247
06/05/2017,11:06:39,387,0.4429247
06/05/2017,11:06:39,419,0.4273501
06/05/2017,11:06:39,465,0.4115942
06/05/2017,11:06:39,434,0.458554
06/05/2017,11:06:39,481,0.4273071
06/05/2017,11:06:39,955,0.1875249
06/05/2017,11:06:39,861,0.3281057
06/05/2017,11:06:39,861,0.3437554
06/05/2017,11:06:40,174,0.1875261
06/05/2017,11:06:40,237,0.2343682
06/05/2017,11:06:40,252,0.328249
06/05/2017,11:06:40,518,0.250032
06/05/2017,11:06:40,627,0.2344062
06/05/2017,11:06:40,893,0.1875266
06/05/2017,11:06:41,112,0.1877493
06/05/2017,11:06:41,346,0.1875073
06/05/2017,11:06:41,565,0.1875184
06/05/2017,11:06:41,784,0.1875312
